delta_lambda,delta_fwhm
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
-0.0325418,-0.234669
0.000000,0.000000
